name,Position,club status,Foreign,age at debut,birth quarter,Height,International,Weights,Market value on debut,pro debut?,nation status,assists,goals,awards,FDB rank,Overall,potential,weak_foot,skill_moves,pace/diving,shooting/handling,passing/kicking,dribbling/reflexes,defending/Speed,physical/positioning,success,,Premier apps
David de Gea,GK,1,1,20.09,1,192,17,81,10.8,0,1,2,0,1,33461,80,85,3,2,82,53,79,87,86,74,1,,377
Jordan Cook,STR,0,0,20.09,3,175,0,68,0.045,1,1,3,0,0,-599,61,70,2,1,66,21,59,69,51,46,0,,3
Jack Butland,GK,0,0,20.09,3,196,11,82,4.5,0,1,0,0,1,6890,71,85,3,2,68,61,76,66,74,70,0,,87
Davide Santon,FB,0,1,20.09,2,187,34,73,6.7,0,1,5,5,0,11022,75,87,3,2,73,82,82,57,77,77,0,,82
Charly Musonda Jr.05  ,CAM,1,1,20.09,1,170,43,63,0.9,0,1,6,10,1,6655,77,88,5,4,83,23,88,65,70,47,0,,3
Kasey Palm ,CAM,0,0,20.09,1,170,11,70,0.45,0,1,6,14,0,13011,68,81,2,1,70,45,74,63,64,54,0,,4
Abdelhamid Sabiri ,CAM,0,1,20.09,1,186,0,70,0.36,0,1,9,42,0,411,64,77,3,2,74,38,76,56,51,64,0,,7
Japhet Tanganga,CB,0,0,20.09,3,182,4,77,0.72,1,1,8,3,0,1101,62,80,3,2,51,59,68,22,43,60,0,,23
Juan Foyth,CB,0,1,20.09,2,179,0,76,2.5,1,1,1,4,0,21259,68,86,4,2,68,67,73,45,53,66,1,,16
Leif Davis,FB,0,0,20.09,2,169,0,68,0.36,1,1,3,1,0,5659,63,78,3,3,59,59,76,31,50,57,0,,2
James Tavernier,FB,0,0,20.1,1,182,0,81,0.068,1,1,4,4,0,7361,63,68,3,3,64,61,77,31,53,62,0,,2
Román Golobart,CB,0,0,20.1,3,183,0,80,0.045,0,1,3,6,0,2616,65,75,3,2,39,67,52,24,34,66,0,,3
Alex Smith  ,CM,1,0,20.1,1,177,0,68,0.068,1,1,9,7,0,1985,48,67,3,3,52,58,68,32,52,46,0,,1
Joel Pereira,GK,1,1,20.1,4,188,1,74,0.09,0,1,0,0,0,5422,57,71,3,2,54,57,55,43,53,42,0,,1
Aleksandar Mitrovic,STR,0,1,20.1,1,189,20,82,9.9,0,1,16,82,1,98366,76,83,2,1,67,24,64,78,54,75,1,,104
Larnell Cole  ,Winger,0,0,20.1,4,163,5,69,0.18,1,1,4,14,0,-20,61,64,3,2,67,35,83,54,53,56,0,,1
Ben Reeves09  ,CAM,0,0,20.1,1,171,0,67,0.045,1,1,7,6,0,1102,57,63,3,2,60,47,69,45,33,52,0,,3
Rob Holding ,CB,0,0,20.1,1,189,3,82,1.35,0,1,2,5,0,-1262,67,79,3,2,61,65,65,34,52,72,1,,84
Ashley Fletcher,STR,1,0,20.1,1,185,0,74,0.225,1,1,8,11,0,19,66,78,3,3,65,25,74,64,38,69,0,,2
Christian Pulisic,Winger,1,1,20.1,1,170,54,67,45,0,1,35,52,1,55572,79,88,2,3,85,36,91,69,71,58,1,,74
Tyrick Mitchell,FB,0,0,20.1,1,178,0,69,1.1,1,1,5,2,0,-98,55,72,2,1,59,58,56,32,40,50,0,,59
Sebastián Coates,CB,1,0,20.11,1,196,27,81,2.25,0,1,1,5,0,21109,72,81,3,3,32,76,68,25,29,78,0,,38
Luke Garbutt,FB,0,0,20.11,3,179,7,72,0.221,1,1,17,14,1,3534,62,72,3,3,62,58,70,51,65,66,0,,5
Luis Alberto  ,CM,1,1,20.11,1,182,14,68,4.5,0,1,15,12,0,7211,72,81,3,2,75,26,69,70,72,55,0,,9
Tomas Kalas ,CB,1,0,20.11,3,184,41,82,2.5,0,1,6,4,1,8781,71,78,3,3,65,75,77,49,51,75,0,,2
Jairo Riedewald ,CDM,0,1,20.11,1,177,34,70,4.5,0,1,1,3,0,30332,71,78,3,2,70,73,77,49,51,75,0,,65
Kevin Danso ,CB,0,1,20.11,1,190,1,82,2.7,0,1,0,3,0,1639,70,80,3,2,52,70,65,31,42,71,0,,6
Oscar ,CAM,1,1,20.11,1,178,17,65,18,0,1,25,22,0,40701,80,88,3,3,84,33,82,72,77,40,1,,131
Josh Benson ,CM,0,0,20.11,2,175,0,70,0.09,1,1,6,4,0,-50,62,74,3,2,63,54,68,54,61,64,0,,6
Marvin Sordell,STR,0,0,20.11,2,180,0,76,0.9,0,1,1,2,0,28648,55,62,2,1,60,21,75,49,51,82,0,,17
Oleksandr Zinchenko05,FB,1,1,20.11,2,173,30,69,3.6,0,1,19,18,1,26803,74,86,3,2,76,59,77,62,75,58,1,,76
Nathan Tella,Winger,0,1,20.11,4,171,0,70,0.675,0,1,8,14,0,-12,61,74,3,3,65,31,79,53,52,50,0,,33
Jamie Shackleton,CM,0,0,20.11,1,167,3,68,2.25,0,1,3,2,0,12805,65,80,3,2,70,58,82,41,64,63,0,,27
Adam Smith,FB,0,0,21,3,178,14,73,0.45,1,1,8,4,0,13008,68,76,3,2,68,68,75,53,63,64,1,,144
Tom Cleverley ,CM,1,0,21,4,175,1,69,2.25,0,1,7,15,1,23954,71,79,2,1,77,55,76,71,72,69,1,,242
João Carlos Teixeira  ,CAM,1,0,21,2,167,42,65,0.45,1,1,4,12,0,-418,54,63,3,3,34,35,63,56,51,47,0,,2
Wilfried Zaha00,Winger,1,0,21,1,180,15,78,10.8,0,1,23,16,1,19239,72,81,3,3,80,35,86,64,58,66,1,,278
PPierrre-Emile Höjbjerg  ,CDM,0,1,21,4,185,48,78,5.4,0,1,8,27,1,20873,73,82,3,2,76,67,67,61,73,72,1,,182
Alex Pritchard ,CAM,0,0,21,3,167,3,66,0.9,0,1,17,16,0,12327,65,76,3,2,70,39,75,59,64,51,0,,48
Ayoze Pérez,STR,0,1,21,4,178,0,73,1.8,0,1,7,17,1,14942,67,78,2,3,79,64,58,75,27,46,1,,215
David Davis ,CM,0,0,21,2,173,0,66,0.158,0,1,5,5,0,5485,62,74,3,3,58,58,70,48,57,62,0,,7
Jores Okore,CB,0,1,21,4,183,3,73,0.045,1,1,4,2,0,22414,73,83,3,3,79,70,77,40,45,84,0,,1
Filip Lesniak ,CDM,0,1,21,3,176,0,68,0.09,0,1,4,2,0,1599,63,76,3,2,58,60,55,50,59,59,0,,4
Gedson Fernandes ,CM,0,1,21,2,180,31,65,0.81,0,1,7,21,1,41584,74,86,3,2,76,67,79,67,71,77,0,,7
Jack Simpson08,CB,0,0,21,2,177,0,80,0.225,0,1,1,3,0,450,61,71,3,3,41,62,44,33,37,60,0,,11
Steven Alzate ,CM,0,1,21,1,180,0,70,2.25,0,1,4,3,0,5877,54,66,3,3,57,30,66,49,47,45,0,,24
Mbemba,CB,0,1,21,4,183,5,79,7.2,0,1,2,6,0,39475,77,84,3,3,69,78,82,56,54,79,0,,42
David Brooks,Winger,0,0,21.01,4,173,10,67,4.5,0,1,9,7,1,9288,64,81,3,3,68,31,64,51,62,58,0,,39
Ryan Tunnicliffe  ,CDM,0,0,21.01,2,183,6,70,0.068,1,1,6,4,0,3315,65,73,3,2,64,72,68,56,65,68,0,,3
Mikel Merino ,CM,0,1,21.01,4,189,21,80,2.25,0,1,2,5,0,19606,76,86,3,2,74,68,66,63,73,72,0,,24
Sean Longstaff ,CM,0,0,21.01,1,180,0,74,2.25,1,1,3,8,0,18991,72,84,3,2,67,60,63,65,68,60,0,,78
Pascal Struijk,CB,0,1,21.01,4,190,3,83,0.9,0,1,4,9,0,1042,63,78,3,3,49,61,60,34,46,70,0,,52
Ryan McGivern,FB,1,0,21.02,2,188,0,73,0.09,1,1,3,1,0,-3061,59,67,3,3,52,57,72,40,50,72,0,,1
Andros Townsend,Winger,0,0,21.02,4,176,18,70,0.9,0,1,31,19,0,29893,70,77,3,3,75,31,87,60,65,60,1,,181
Chris David  ,CAM,0,1,21.02,3,172,23,64,0.09,1,1,3,3,0,40,64,79,3,2,71,39,71,57,56,54,0,,1
Daniel Amartey,CB,0,1,21.02,2,186,1,81,1.8,0,1,1,2,0,48335,70,83,3,2,69,72,78,61,62,88,1,,86
Davinson Sánchez,CB,0,1,21.02,4,185,22,83,37.8,0,1,2,8,1,59914,71,83,3,2,49,69,72,33,50,78,1,,124
Juninho Bacuna ,CM,0,1,21.02,4,178,14,71,2.25,0,1,10,16,0,22603,63,78,2,1,69,24,72,58,54,54,0,,21
Chris Mepham,CB,0,0,21.02,1,190,6,81,12.24,0,1,1,1,0,9563,58,73,3,2,46,57,64,24,32,63,0,,26
Moussa Djenepo,Winger,0,1,21.02,4,176,8,71,7.8,0,1,7,12,0,44373,67,78,3,2,74,32,86,61,54,58,0,,57
El-Hadji Ba  A,CDM,0,1,21.02,3,183,0,70,0.215,0,1,3,0,0,4110,59,73,3,2,61,46,71,50,56,70,0,,1
Donald Love,FB,1,0,21.02,2,178,1,68,0.9,1,1,2,5,0,102,59,73,3,3,56,56,72,31,49,63,0,,13
Jason Denayer A,CB,0,1,21.02,4,184,25,78,2.7,0,1,2,7,0,51567,71,84,3,3,63,71,74,42,50,74,1,,24
Philip Billing ,CDM,0,0,21.02,4,193,0,82,0.9,1,1,1,3,0,4886,62,77,3,2,59,59,62,55,55,68,0,,77
Aaron Ramsdale,GK,0,0,21.02,3,183,7,79,9,0,1,0,0,0,-1063,61,80,2,1,68,35,62,59,53,58,1,,109
Alexis Mac Allister,CM,0,1,21.02,2,174,4,69,9,0,1,19,15,1,40315,69,79,3,2,64,34,68,52,56,49,0,,63
Stephen Darby,FB,1,0,21.03,1,174,2,68,0.225,1,1,0,0,0,-515,61,74,3,2,48,63,67,37,50,65,0,,1
Frédéric Nimani,STR,0,1,21.03,1,191,8,80,1.89,0,1,1,10,0,10514,70,78,3,2,61,41,74,69,67,52,0,,2
Matej Vydra,STR,0,1,21.03,3,180,38,73,7.2,0,1,14,36,1,23029,74,83,2,1,71,32,81,75,62,66,1,,106
Douglas Luiz ,CDM,0,1,21.03,3,175,18,68,15.17,0,1,0,3,1,5203,73,83,3,2,72,69,65,67,71,67,1,,103
Jake Kean,GK,0,0,21.03,2,193,0,78,0.25,1,1,0,0,0,-1641,63,66,3,2,61,45,63,60,65,63,0,,1
Abdul-Rahman Baba 07,FB,1,1,21.03,4,180,1,74,2.7,0,1,11,12,0,20432,68,77,3,3,64,23,75,68,61,65,0,,15
Kai Havertz ,CAM,1,1,21.03,4,188,38,70,72,0,1,35,88,1,73375,79,88,3,3,80,38,77,64,76,59,1,,56
Jayson Molumby ,CM,0,1,21.03,4,176,24,68,0.81,0,1,3,7,1,5774,61,75,3,2,61,57,52,50,57,59,0,,1
Nathaniel Clyne,FB,0,0,21.04,3,178,17,72,2.88,0,1,7,1,1,14346,72,84,3,3,74,71,83,50,63,72,1,,214
Jordan Bowery,STR,0,0,21.04,4,185,0,70,0.45,0,1,4,17,0,2263,55,59,3,2,57,22,83,51,43,65,0,,19
Craig Dawson,CB,0,0,21.04,3,188,0,80,1.35,0,1,0,22,0,7230,68,77,3,2,41,69,68,34,46,71,1,,238
Rúben Neves ,CDM,0,1,21.04,3,175,81,66,13.5,0,1,3,12,1,26735,77,86,4,4,73,72,66,68,78,71,1,,142
Jonathan Benteke,STR,0,1,21.04,3,187,0,74,0.09,0,1,1,5,0,2015,62,72,2,1,63,27,74,62,51,59,0,,1
Karlan Grant,STR,0,0,21.04,1,183,7,75,2.25,0,1,9,30,0,21556,57,74,3,3,55,26,84,51,44,56,0,,34
Jordan Amavi,FB,0,1,21.04,3,176,21,68,3.6,0,1,1,5,0,6576,75,83,3,3,74,74,78,69,68,69,0,,10
Hope Akpan ,CM,0,0,21.05,4,185,0,72,0.45,1,1,15,10,0,15872,60,67,3,2,50,60,63,46,49,74,0,,9
Joe Allen ,CDM,0,0,21.05,3,163,38,64,3.6,0,1,4,3,1,20393,66,84,3,3,68,47,67,55,68,64,1,,199
erik Lamela,Winger,0,1,21.05,3,184,10,72,27,0,1,19,29,0,65784,81,86,3,2,87,29,80,80,76,58,1,,177
Jak Alnwick,GK,0,0,21.05,4,187,24,76,0.225,1,1,0,0,0,-1744,61,71,3,2,61,60,60,50,58,70,0,,6
Memphis Depay,Winger,1,1,21.05,2,175,55,76,13.5,0,1,19,59,1,110229,81,89,3,2,85,29,90,78,73,75,1,,33
Duncan Watmore A,Winger,0,0,21.05,3,172,5,68,1.35,0,1,8,23,1,-1499,62,71,2,1,65,30,78,62,52,54,0,,37
Josh Harrop05 ,CAM,1,0,21.05,2,175,3,67,0.045,0,1,5,12,0,-5,65,76,3,3,68,37,72,61,60,51,0,,1
Todd Cantwell ,CAM,0,0,21.05,2,174,4,77,4.5,0,1,8,11,1,19990,63,77,3,2,67,48,68,60,61,47,0,,45
Nathan Holland,Winger,0,0,21.05,4,176,24,65,0.045,0,1,18,19,0,-1756,62,77,3,3,65,26,83,51,54,45,0,,2
Ismaïla Sarr,Winger,0,0,21.05,2,185,13,76,18,0,1,20,23,0,69627,60,77,3,2,65,27,82,59,49,50,0,,50
George Hirst,STR,0,0,21.05,2,191,40,80,0.36,0,1,8,32,0,2160,64,74,3,3,57,30,64,63,41,64,0,,4
Luke Amos ,CDM,0,0,21.05,2,180,0,70,0.09,0,1,3,5,0,1392,60,72,3,3,56,59,59,40,55,63,0,,1
Andi Zeqiri,STR,0,1,21.05,4,185,60,69,1.17,0,1,15,83,0,17201,66,80,3,2,67,22,74,67,55,66,0,,9
Will Atkinson04 ,CM,0,0,21.06,1,178,0,71,0.045,0,1,2,3,0,5800,46,64,3,3,51,41,52,47,42,49,0,,2
Liam Moore,CB,0,0,21.06,2,185,3,74,1.35,0,1,0,2,0,13254,69,77,3,2,74,33,49,56,68,74,0,,11
Craig Cathcart,CB,0,0,21.06,2,189,51,81,2.25,0,1,0,5,1,1356,65,78,2,1,63,32,40,46,66,61,1,,182
Sandro ,CDM,0,1,21.06,3,183,10,73,7.3,0,1,3,6,0,19170,77,83,3,3,72,66,74,74,77,81,1,,110
Jordi Amat,CB,0,1,21.06,3,184,1,77,2.7,0,1,3,2,0,457,74,77,3,2,65,57,51,50,74,77,0,,52
Ben Godfrey,CB,0,0,21.06,2,183,2,78,3.6,0,1,2,6,0,12901,66,80,3,2,70,44,57,63,65,76,1,,84
Keinan Davis,STR,0,0,21.06,2,185,3,78,1.8,1,1,10,13,0,4376,65,76,2,3,70,59,51,68,41,75,0,,34
Matthew Pennington,CB,0,0,21.06,1,185,0,74,0.45,1,1,0,2,0,3038,63,73,2,2,58,33,41,48,64,69,0,,7
Jamal Lewis,FB,0,0,21.06,2,181,15,69,3.6,0,1,7,2,0,17302,66,79,3,2,78,49,59,66,64,60,0,,57
Dara O'Shea,CB,0,1,21.06,3,189,21,82,0.1,0,1,0,3,0,5780,67,77,3,2,65,33,49,50,67,71,0,,1
Chris Herd ,CDM,0,0,21.07,3,173,3,72,0.45,0,1,0,3,0,565,63,78,2,3,72,51,62,61,50,57,0,,36
Eden Hazard,Winger,1,0,21.07,2,169,52,67,29.7,0,1,38,63,1,115649,85,89,4,4,89,77,80,89,32,63,1,,245
Stephen Kingsley,FB,0,0,21.07,4,178,0,69,0.45,1,1,1,2,0,-1002,61,69,3,2,70,28,51,57,61,63,0,,19
Christian eriksen ,CAM,0,1,21.07,2,179,53,68,16.2,0,1,65,62,1,102537,82,88,5,3,83,72,84,84,47,56,1,,237
Michael Keane,CB,1,0,21.07,2,188,27,82,1.8,0,1,6,20,1,10405,65,75,3,2,58,30,48,53,67,63,1,,217
Robbie Brady ,Winger,0,1,21.07,2,172,27,70,2.25,0,1,14,18,1,17390,71,80,4,3,80,61,66,75,49,59,1,,160
Mohamed Salah ,Winger,1,1,21.07,4,167,35,74,7.65,0,1,23,47,1,130225,77,87,3,4,93,65,69,48,64,64,1,,193
Jeffrey Schlupp ,Winger,0,0,21.07,2,176,20,74,0.81,0,1,4,17,0,7984,63,73,2,2,85,58,58,72,62,66,1,,205
Georges-Kevin N'Koudou,Winger,0,0,21.07,2,170,12,75,4.7,0,1,8,15,0,31607,70,80,3,3,92,65,63,75,34,48,0,,19
Lloyd Isgrove ,Winger,0,1,21.07,2,178,5,69,0.105,1,1,12,7,0,669,63,73,3,3,79,50,57,67,28,57,0,,1
Patrick Cutrone,STR,0,1,21.07,2,180,25,73,2.7,0,1,6,87,0,70502,77,89,3,4,76,74,56,74,29,71,0,,14
Issa Diop,CB,0,1,21.07,2,194,40,82,22.5,0,1,3,9,1,9874,76,87,3,2,63,31,50,48,77,81,1,,99
Baily Cargill,CB,0,0,21.07,4,189,0,78,0.068,0,1,1,2,0,6410,62,75,3,2,66,29,43,57,62,65,0,,1
Ibrahima Diallo ,CDM,1,0,21.07,3,179,13,78,10.8,0,1,2,0,0,18263,61,72,3,2,63,32,39,48,60,65,0,,45
Marc Muniesa,CB,0,1,21.08,3,180,15,74,1.8,0,1,1,3,0,4062,68,80,3,2,68,27,54,53,71,64,0,,57
Tom Thorpe,CB,1,0,21.08,2,187,10,73,0.18,1,1,2,4,0,-8,60,69,2,2,59,31,43,44,60,67,0,,1
Sam McQueen 06,FB,0,1,21.08,2,181,0,71,0.675,0,1,2,3,0,450,59,73,3,2,61,57,58,65,24,50,0,,20
Ryan Bertrand,FB,1,0,21.08,4,177,31,68,1.35,0,1,8,2,0,16677,68,77,3,2,79,42,62,70,68,67,1,,262
Kyle Bartley,CB,0,0,21.08,3,187,8,80,1.17,0,1,4,1,0,16250,68,78,3,2,67,26,46,41,67,79,0,,51
Dan Burn ,CB,0,0,21.08,3,201,0,85,0.45,0,1,1,4,0,16289,62,72,3,2,50,32,54,36,61,72,1,,99
Jesse Lingard05 ,CAM,1,0,21.08,2,170,8,59,4.5,0,1,27,29,0,12509,68,77,3,3,78,61,64,69,31,44,1,,165
Thievy Bifouma,Winger,0,1,21.08,3,168,4,69,1.35,0,1,14,18,0,24671,73,79,3,2,90,74,29,52,29,72,0,,6
George Honeyman  A,CAM,0,0,21.08,1,173,0,69,0.225,0,1,7,5,0,-189,58,69,3,2,69,51,58,61,45,52,0,,6
James Maddison ,CAM,0,1,21.08,1,175,9,67,9,0,1,19,23,1,26166,69,80,4,3,76,64,65,73,25,44,1,,133
Diogo Jota,STR,0,1,21.08,2,174,30,68,7.2,0,1,26,45,1,59304,77,86,4,4,81,74,67,83,46,70,1,,121
Dan N'Lundulu,STR,0,1,21.08,2,185,2,80,0.45,0,1,5,14,0,-30,59,70,3,3,58,21,67,58,46,62,0,,13
Akin Famewo,CB,0,1,21.08,1,188,0,75,0.028,0,1,2,3,0,-311,55,66,3,2,55,21,32,37,52,66,0,,1
Lloyd Kelly,CB,0,0,21.08,1,182,0,74,1.8,0,1,1,3,0,4230,64,82,3,2,78,33,50,63,61,66,0,,8
Neal Eardley,FB,0,0,21.09,1,180,8,72,0.9,0,1,1,3,0,10793,66,70,3,2,74,64,69,64,64,69,0,,31
Ben Amos,GK,1,0,21.09,3,193,1,80,0.09,1,1,0,0,0,4589,62,72,2,1,62,63,65,74,47,54,0,,1
Sean Morrison,CB,0,0,21.09,2,194,0,81,0.9,0,1,2,5,0,1763,66,71,3,2,60,24,37,41,70,74,0,,50
Christian Benteke,STR,0,1,21.09,2,190,47,84,8.1,0,1,36,57,0,17183,72,80,4,2,80,69,59,68,30,75,1,,280
Emmanuel Mayuka,STR,0,1,21.09,1,178,4,72,3.6,0,1,19,43,1,69953,72,82,3,3,90,70,50,75,31,57,0,,16
Nick Blackman01,STR,0,0,21.09,1,187,0,76,0.54,1,1,10,31,0,25383,67,70,3,2,72,66,60,65,32,66,0,,12
John Guidetti,STR,0,1,21.09,3,185,43,75,0.72,0,1,25,53,1,572,73,79,3,3,74,76,61,69,30,72,0,,6
Gastón Ramírez  ,CAM,0,1,21.09,2,184,30,69,13.68,0,1,12,26,0,26143,78,88,4,4,81,74,76,85,41,74,0,,94
Harry Maguire,CB,0,0,21.09,2,194,7,83,2.84,0,1,7,10,1,14541,66,76,3,2,44,34,47,42,68,78,1,,203
Youri Tielemans ,CM,0,1,21.09,3,176,35,70,40.5,0,1,34,58,1,47163,77,89,5,3,60,73,77,77,67,64,1,,120
DeAndre Yedlin,FB,0,1,21.09,4,168,3,69,1.35,0,1,6,3,0,17265,68,82,3,3,93,52,63,70,61,77,1,,109
Xande Silva,Winger,0,1,21.09,3,177,65,69,1.35,0,1,0,24,0,-1052,69,78,3,3,82,63,58,73,23,59,0,,1
Daniel James00,Winger,1,0,21.09,1,170,30,64,16.02,0,1,21,14,1,12031,59,77,3,2,91,56,52,64,27,52,1,,82
James Justin,FB,0,0,21.09,2,183,0,74,7.37,0,1,8,10,0,18408,61,71,4,2,70,36,55,61,57,61,1,,48
Bruno Jordão02 ,CM,0,1,21.09,1,180,2,70,0.9,0,1,1,13,0,7034,60,76,3,3,55,50,58,67,44,59,0,,1
Jordan Pickford A,GK,0,0,21.1,3,183,14,75,4.5,1,1,1,0,0,10816,73,83,3,1,72,75,82,74,44,71,1,,211
Paul Dummett,FB,0,0,21.1,1,178,10,70,0.675,1,1,1,4,0,5280,62,67,2,2,66,34,55,60,64,61,0,,46
Jamaal Lascelles01,CB,0,1,21.1,1,188,12,81,2.7,0,1,2,6,1,5106,68,80,3,2,64,27,46,53,69,71,1,,152
Alejandro Pozuelo ,CAM,0,1,21.1,1,172,0,68,0.45,0,1,2,19,0,6382,68,76,4,2,70,57,66,73,27,55,0,,22
eric Lichaj07,FB,0,1,21.11,1,173,0,70,0.9,0,1,1,2,0,-134,64,78,3,2,65,39,58,41,68,65,0,,32
Muhamed Besic ,CDM,0,1,21.11,1,178,22,70,2.25,0,1,2,10,0,11810,71,80,3,2,74,49,58,71,74,76,0,,46
Sander Berge ,CDM,0,1,21.11,2,195,21,76,15.3,0,1,5,11,1,48373,75,87,3,3,76,49,69,72,71,81,0,,29
Jonathan Hogg ,CM,0,0,21.11,2,176,0,75,0.225,0,1,1,2,0,-1435,60,77,3,3,67,59,57,67,58,65,0,,64
Leandro Bacuna ,CAM,0,1,21.11,4,180,19,74,1.26,0,1,14,18,0,3524,69,75,4,3,73,69,69,70,58,78,0,,96
Patrick Bamford,STR,0,0,21.11,1,187,6,73,4.5,0,1,18,63,1,35249,70,78,3,2,75,69,60,70,34,62,1,,74
Yves Bissouma ,CM,0,1,21.11,4,182,6,74,15.12,0,1,2,8,0,10238,70,80,3,2,78,56,67,71,61,64,1,,112
Ezri Konsa,CB,0,0,21.11,1,187,12,80,11.97,0,1,1,2,1,6922,62,81,3,2,76,38,51,53,61,65,1,,91
Max Kilman,CB,0,0,21.11,3,188,0,83,1.35,0,1,9,9,0,138,60,73,4,2,60,56,64,41,52,69,0,,52
Boateng,CB,1,1,22,1,192,36,82,9.9,0,1,11,10,1,17863,77,86,4,3,76,51,69,66,79,77,1,,16
Mame Diouf19870206,STR,1,1,22,2,185,28,76,4.05,0,1,18,29,0,46906,74,84,3,1,85,72,49,77,34,67,1,,153
Ryan Bennett,CB,0,0,22,3,188,4,81,3.47,0,1,14,11,0,13288,67,78,2,2,66,22,39,46,68,69,1,,111
Danny Ings ,STR,0,0,22,4,178,13,74,3.6,0,1,12,38,1,42238,71,79,3,3,89,70,60,73,34,65,1,,170
Tom Ince,Winger,0,0,22,2,176,5,69,2.25,0,1,31,36,0,28765,72,83,3,3,80,68,65,77,25,57,0,,48
Modou Barrow03,Winger,0,1,22,1,176,0,69,1.7,0,1,13,15,0,-3441,75,79,3,3,80,38,89,67,65,61,0,,51
Jan Bednarek ,CB,0,1,22,3,189,30,77,5.4,0,1,3,1,0,16664,68,80,3,2,66,22,48,46,66,74,1,,131
Caoimhin Kelleher,GK,1,1,22,1,188,26,72,0.9,1,1,0,0,0,6368,59,74,2,1,60,56,53,62,39,57,0,,4
Winston Reid,CB,0,1,22.01,4,190,15,83,1.35,1,1,2,2,1,9372,68,79,2,2,70,36,48,52,70,70,1,,166
Carles Gil ,CAM,0,1,22.01,1,171,9,66,5.4,0,1,4,9,0,24459,74,83,3,3,70,64,73,80,38,55,0,,28
Joel Campbell ,Winger,1,1,22.01,4,175,31,71,4.5,0,1,19,29,1,88663,78,84,3,4,88,73,74,79,42,74,0,,23
M'Baye Niang09 ,STR,0,1,22.01,2,188,18,76,10.8,0,1,17,31,0,41043,74,84,4,4,86,72,66,82,24,68,0,,16
Michael Doughty ,CM,0,1,22.01,2,184,2,78,0.045,0,1,0,2,0,4523,58,66,3,3,65,45,57,60,44,63,0,,3
Sandro Ramírez,STR,0,1,22.01,2,175,15,71,4.5,0,1,11,51,0,25758,74,82,4,3,78,73,61,77,27,66,0,,8
Alberto Moreno ,FB,1,1,22.01,4,164,9,67,13.5,0,1,12,5,1,25609,59,59,3,2,63,35,52,47,57,67,0,,90
Emerson Hyndman ,CM,0,1,22.01,3,170,25,67,0.45,0,1,4,7,0,19415,65,78,3,3,71,54,68,70,53,43,0,,2
Clinton N'Jie,Winger,0,1,22.01,4,173,10,72,5.85,0,1,9,8,0,49757,69,78,3,4,93,68,65,74,30,66,0,,8
Adama Diakhaby,Winger,0,1,22.01,4,184,4,75,4.5,0,1,5,9,0,29017,70,82,2,3,75,67,63,71,21,47,0,,12
Mehdi Abeid ,CM,0,1,22.02,4,178,35,68,0.675,0,1,2,7,0,25523,65,72,3,3,72,65,63,70,54,73,0,,13
Emiliano Martínez ,GK,1,0,22.02,1,192,8,80,0.9,0,1,0,0,0,886,63,72,3,1,60,72,67,58,60,60,0,,89
Ishmel Demontagnac,Winger,0,1,22.02,4,178,10,67,0.045,0,1,5,14,0,6757,60,68,3,3,62,26,82,40,54,53,0,,1
Chicharito,STR,1,1,22.02,4,173,13,71,6.75,0,1,9,30,1,40176,79,87,4,3,77,35,85,78,67,69,1,,158
Victor Wanyama ,CDM,0,1,22.02,4,184,5,81,4.5,0,1,2,3,1,83671,76,81,3,2,75,73,74,67,74,86,1,,154
Kevin De Bruyne ,CAM,1,1,22.02,4,179,29,72,9,0,1,46,27,1,47871,79,85,5,4,80,42,78,79,79,69,1,,210
Viktor Fischer,Winger,0,0,22.02,4,181,63,71,4.5,1,1,19,66,0,82831,74,81,4,3,77,35,78,72,70,65,0,,13
Juanmi ,Winger,0,1,22.02,3,172,23,66,3.15,0,1,6,30,0,11286,70,77,3,3,75,30,76,66,56,57,0,,11
Yacouba Sylla ,CDM,0,1,22.02,1,184,1,78,0.72,0,1,1,0,0,1188,67,75,3,2,58,57,75,41,63,81,0,,22
Vincent Janssen,STR,0,1,22.02,4,180,23,76,5.4,0,1,7,51,1,53873,69,75,4,2,65,22,70,72,49,75,0,,31
Didier Ndong  A,CM,0,1,22.02,4,179,27,69,9,0,1,6,4,0,19239,67,74,2,2,68,66,69,54,62,65,0,,31
Alexander Sörloth,STR,0,1,22.02,2,195,31,75,1.8,0,1,21,35,1,73156,69,75,3,2,63,25,76,68,55,72,0,,16
Eberechi Eze ,CAM,0,1,22.02,4,178,11,68,16.02,0,1,13,25,1,27364,71,82,3,4,74,42,75,62,63,64,0,,47
Thibaut Courtois,GK,1,1,22.03,3,200,24,82,22.5,0,1,1,0,1,80091,86,90,3,1,87,69,88,49,86,65,1,,126
Enda Stevens,FB,0,0,22.03,4,183,3,72,0.257,0,1,4,1,0,-3546,66,76,3,2,70,25,79,64,62,61,0,,75
Nicklas Helenius,STR,0,1,22.03,3,196,14,79,1.35,0,1,25,51,1,43811,66,76,3,3,61,24,71,71,53,62,0,,3
Connor Roberts,FB,0,0,22.03,1,175,3,73,0.225,0,1,4,1,0,3465,60,77,4,2,57,57,70,30,49,58,0,,25
Steven Bergwijn,Winger,0,1,22.03,1,178,49,74,16.2,0,1,51,49,1,106921,82,87,4,4,85,40,89,75,76,73,0,,60
